# Devanagari -> the most commonly attested romanization.
# Derived from Google Dakshina v1.0, CC BY-SA 4.0.
अं	an
अंकगणित	ankganit
अंकल	uncle
अंकुर	ankur
अंकुरण	ankuran
अंकुरित	ankurit
अंकुश	ankush
अंग	ang
अंगद	angad
अंगने	angane
अंगभंग	angbhang
अंगरक्षक	angrakshak
अंगारा	angara
अंगारे	angare
अंगी	angi
अंगीकार	angikar
अंगुठे	anguthe
अंगुल	angul
अंगुलियों	anguliyon
अंगुली	anguli
अंगूठा	angutha
अंगूठियों	anguthiyon
अंगूठी	anguthi
अंगूठे	anguthe
अंगूर	angur
अंगूरी	anguri
अंगूरों	anguron
अंगों	angon
अंगोला	angola
अंग्रजी	angraji
अंग्रेजी	angreji
अंचल	anchal
अंचलों	anchalon
अंजन	anjan
अंजना	anjana
अंजली	anjali
अंजान	anjaan
अंजानी	anjani
अंजाने	anjane
अंजार	anjar
अंजीर	anjeer
अंजुम	anjum
अंजुमन	anjuman
अंजू	anju
अंटार्कटिका	antarctica
अंटोनियो	antonio
अंटोनी	antoni
अंडमान	andaman
अंडर	under
अंडरकवर	undercover
अंडरटेकर	undertaker
अंडरवर्ल्ड	underworld
अंडरवियर	underwear
अंडा	anda
अंडाकार	andakar
अंडाशय	andashay
अंडे	ande
अंडों	andon
अंत	ant
अंतःकरण	antahkaran
अंततोगत्वा	anttogtva
अंतर	antar
अंतरग्रहीय	antargrahiy
अंतरमहाद्वीपीय	antarmahadveepeeye
अंतरराष्ट्रीय	antarrashtriya
अंतरर्राष्ट्रीय	antararraashtreey
अंतरात्मा	antaratma
अंतराल	antral
अंतराष्ट्रीय	antarashtriya
अंतरिक्ष	antriksh
अंतरिक्षयात्री	antrikshyatri
अंतरिक्षयान	antrikshayan
अंतरिम	antrim
अंतरों	antaron
अंतर्गत	antargat
अंतर्दृष्टि	antardrishti
अंतर्देशीय	antardeshiy
अंतर्निहित	antnirhit
अंतर्मन	antarman
अंतर्राष्ट्रीय	antarrashtriy
अंतर्वस्त्र	antarvastr
अंतर्विरोधों	antarvirodhon
अंतर्वैयक्तिक	antarvaiyaktik
अंतिम	antim
अंतुले	antule
अंत्य	antya
अंत्येष्टि	antyeshti
अंत्योदय	antyoday
अंदर	andar
अंदरूनी	andruni
अंदाज	andaaz
अंदाजन	andaajan
अंदाज़	andaaz
अंदाजा	andaajaa
अंदेशा	andeshaa
अंधक	andhak
अंधकार	andhkaar
अंधकारपूर्ण	andhakaarapurna
अंधता	andhta
अंधविश्वास	andhavishvas
अंधविश्वासों	andhavishvason
अंधाधुंध	andhadhundh
अंधे	andhe
अंधेपन	andhepan
अंपायर	umpire
अंबाला	ambala
अंबिका	ambika
अंबेडकर	ambedkar
अंब्रेला	umbrella
अंर्तगत	antargat
अंर्तराष्ट्रीय	antarrashtriya
अंश	ansh
अंशकालिक	anshakaalik
अंशत	anshat
अंशधारकों	anshdhaarakon
अंशावतार	anshavatar
अंशी	anshi
अंशों	anshon
अंसल	ansal
अंसारी	ansari
अकबर	akbar
अकबरपुर	akbarpur
अकबराबाद	akbarabad
अकर्मण्यता	akarmanyata
